district,Document_Revenue,E_Stamp_revenue
Rangareddy,108198682809,81336993463
Medchal_Malkajgiri,64071382839,48819368222
Hyderabad,38396743983,28652397786
Sangareddy,22024502771,16708219605
Hanumakonda,7927494100,5751116148
Yadadri Bhuvanagiri,5973744502,4254388510
Khammam,5606141586,4208231368
Nalgonda,4521634367,3009297574
Nizamabad,4046937361,3047094971
Karimnagar,4024475054,2989066355
Mahabubnagar,3186731550,2236920432
Suryapet,2902358766,2092895272
Siddipet,2625072577,1947542406
Medak,1765752735,1250558303
Peddapalli,1740644457,1271068835
Mancherial,1668092668,1246862431
Jagtial,1666081307,1202617958
Kamareddy,1396196267,982520443
Vikarabad,1381189602,995418682
Nagarkurnool,1358262744,980926364
Jangoan,1329898858,842885890
Rajanna Sircilla,1169030429,825570704
Wanaparthy,1126819540,830193698
Adilabad,1066971491,831038256
Mahabubabad,1058624771,779396646
Nirmal,988708614,707305113
Jogulamba Gadwal,978779682,709344353
Bhadradri Kothagudem,824712666,616009645
Warangal,738341643,484464966
Narayanpet,722273314,517604092
Mulugu,515528121,408743315
Kumurambheem Asifabad,227462583,145692452
