Districts,Total Investment,Sectors
Bhadradri Kothagudem,10000000,Plastic and Rubber
Hanumakonda,30000000,Pharmaceuticals and Chemicals
Hanumakonda,30000000,Plastic and Rubber
Kamareddy,5040000000,Pharmaceuticals and Chemicals
Khammam,140000000,Pharmaceuticals and Chemicals
Kumurambheem Asifabad,30000000,Pharmaceuticals and Chemicals
Mahabubnagar,2890000000,Pharmaceuticals and Chemicals
Mahabubnagar,770000000,Plastic and Rubber
Mancherial,10000000,Pharmaceuticals and Chemicals
Mancherial,20000000,Plastic and Rubber
Medak,7200000000,Pharmaceuticals and Chemicals
Medak,500000000,Plastic and Rubber
Medchal_Malkajgiri,20970000000,Pharmaceuticals and Chemicals
Medchal_Malkajgiri,2390000000,Plastic and Rubber
Nagarkurnool,20000000,Pharmaceuticals and Chemicals
Nalgonda,7460000000,Pharmaceuticals and Chemicals
Nalgonda,30000000,Plastic and Rubber
Narayanpet,20000000,Pharmaceuticals and Chemicals
Narayanpet,10000000,Plastic and Rubber
Nizamabad,10000000,Pharmaceuticals and Chemicals
Nizamabad,10000000,Plastic and Rubber
Peddapalli,60000000,Pharmaceuticals and Chemicals
Rajanna Sircilla,10000000,Pharmaceuticals and Chemicals
Rajanna Sircilla,20000000,Plastic and Rubber
Rangareddy,2670000000,Pharmaceuticals and Chemicals
Rangareddy,46330000000,Plastic and Rubber
Rangareddy,41320000000,"Real Estate,Industrial Parks and IT Buildings"
Sangareddy,23880000000,Pharmaceuticals and Chemicals
Sangareddy,28060000000,Plastic and Rubber
Sangareddy,10000000,"Real Estate,Industrial Parks and IT Buildings"
Siddipet,4460000000,Pharmaceuticals and Chemicals
Siddipet,320000000,Plastic and Rubber
Suryapet,3420000000,Pharmaceuticals and Chemicals
Vikarabad,420000000,Pharmaceuticals and Chemicals
Warangal,10000000,Pharmaceuticals and Chemicals
Warangal,20000000,Plastic and Rubber
Yadadri Bhuvanagiri,11660000000,Pharmaceuticals and Chemicals
Yadadri Bhuvanagiri,530000000,Plastic and Rubber
Yadadri Bhuvanagiri,100000000,"Real Estate,Industrial Parks and IT Buildings"
